RU/UK,EN
лнр,lnr
дидье буркхальтер,didier burkhalter
луганской народных республик,lugansk people's republic
луганской) народной республики,lugansk) people's republic
избиратели,voters
сообщества,communities
мид,mid
риа новости,ria news
агентство риа новости,ria news agency
бывший,former
кандидат,candidate
организацию объединённых наций,united nations organization
информагентство риа новости,news agency ria news
обсе,obs
другие,other
судов,ships
совместная следственная группа,joint investigation team
зарощенское,overgrown
донбассе,donbas
командир,commander
генеральный директор,ceo
донбассом,donbas
барак обама,barack obama
стороны,parties
boeing 777,boeing 777
ракета серии 9м38,rocket series 9m38
создатель,the creator
сергей мельниченко,sergey melnichenko
вооружения,armament
другой,other
международного консультативно-аналитического агентства (мкаа) безопасность полетов,international advisory and analytical agency (maca) flight safety
рейс,flight
пространство,space
вооруженным силам украины,armed forces of ukraine
исследовательской группы bellingcat,bellingcat research team
государство,state
mh17,mh17
авиакомпании malaysia airlines,airlines malaysia airlines
boeing,boeing
фотоархива irispix,irispix photo archive
всемирного фонда безопасности полетов,world flight safety foundation
член,member
боевой частью 9р314,warhead 9p314
украиной,ukraine
оборонного концерна алмаз-антей,defense concern diamond antey
угроза,threat
малайзийский,malaysian
представители,the representatives
евроконтроль,eurocontrol
повстанцы,the rebels
международной совместной следственной группы,international joint investigative team
куала-лумпур,kuala lumpur
ракеты,rockets
российской,russian
эксперт,expert
bellingcat,bellingcat
петру порошенко,petru poroshenko
международная организация по безопасности воздушного движения,international air traffic safety organization
американскую,the american
ъ,ъ
крыму,crimea
мид россии,russian foreign ministry
страна,a country
донбасса,donbass
коммерсантъ,merchant
пресс-секретарь,press secretary
анатолий жданов,anatoly zhdanov
игорь плотницкий,igor carpenter
господина плотницкого,mister carpenter
украинского государства,ukrainian state
сергей лавров,sergey lavrov
министр иностранных дел,foreign secretary
крым,crimea
вместе,together
состав,composition
дмитрий песков,dmitry sands
крыма,crimea
воздушное пространство,air space
небо,sky
лт,lt
международной следственной группе,international investigation team
комплекса бук,complex beech
joint investigation team jit,joint investigation team jit
боинга 737-800,boeing 737-800
следующий,following
ракета 9м38,rocket 9m38
fsf,fsf
йенс кризе,jens krise
аэропорту ростова-на-дону,rostov-on-don airport
алмаз-антея,diamond anthea
зенитно-ракетного комплекса бук,air defense missile system beech
первомайское,may day
амстердама,amsterdam
место,a place
линии,the lines
луганска,lugansk
донецка,donetsk
москве,moscow
америки,of america
участки,plots
комитета избирателей украины,committee of voters of ukraine
террористы,terrorists
голос,vote
цик самопровозглашённой днр,cyc self-proclaimed dpr
денис пушилин,denis pushilin
европа,europe
командование,command
черненко,chernenko
крымом,the crimea
украинским,ukrainian
игорь гиркин,igor girkin
востока украины,eastern ukraine
министерства иностранных дел украины,ministry of foreign affairs of ukraine
кремля,the kremlin
одесской,odessa
министерства внутренних дел,ministries of internal affairs
генштаба вооружённых сил россии,general staff of the russian armed forces
сбу,sbu
офицеры,officers
верховной рады украины,supreme rada of ukraine
евросоюза,european union
ес,eu
государственного департамента сша,us state department
главнокомандующий,commander in chief
новоазовска,novoazovska
александр черненко,alexander chernenko
российскую федерацию,russian federation
горсовета,city council
сайта,the site
русской службе би-би-си).,russian service of the bbc).
добкина,dobkina
харьковской облгосадминистрации,kharkiv regional state administration
облгосадминистрации,regional state administrations
актив,assets
фронт,front
харьковской области,kharkov region
здесь,here
пули,bullets
сила,strength
киеве,kiev
российские,russian
российским,russian
российский,russian
rouslan (@rouslan5,rouslan (@ rouslan5
красного креста,red cross
харькова,kharkov
владимир путин,vladimir putin
кириленко (@kyrylenkovyach,kirilenko (@kyrylenkovyach
воронеж,voronezh
(@ogrysko,(@ogrysko
миссия,mission
донбасс,donbass
нато,nato
автоколонна,motorcade
украину,ukraine
путинский,putin's
россию,russia
донецк,donetsk
ростова,rostov
marianna (@marianna_kyiv,marianna (@marianna_kyiv
международного комитета красного креста,international committee of the red cross
цель,target
сторона,side
євромайдан (@euromaydan,єvromaydan (@euromaydan
активисты,activists
контрольно-пропускном пункте шебекино-плетеневка,checkpoint shebekino-netting
(@t_felg,(@t_felg
министерства внутренних дел украины,ministry of internal affairs of ukraine
российско-украинской,russian-ukrainian
россиян,russians
(@stalingulag,(@stalingulag
(@fake_midrf,(@fake_midrf
(@sobaka__,(@sobaka__
иосиф сталин,joseph stalin
эха,echo
комплекс с-300,s-300 complex
польша,poland
пересечение,intersection
донецкой областях,donetsk regions
обозреватель,reviewer
майя косьянчич,maya kosyanchich
главного разведывательного управления,chief intelligence agency
вооружённых сил,armed forces
президенты,presidents
михаил добкин,mikhail dobkin
кремлём,the kremlin
луганской,lugansk
луганске,lugansk
стрелков,shooters
россией,russia
востоке страны,east of the country
корреспонденты,correspondents
журналист,journalist
гиркина,girkina
очевидцы,eyewitnesses
януковичу,yanukovych
австрии,austria
российском,russian
информационному агентству ap,ap news agency
кобзарь,kobzar
европу,europe
казачьей бухте,cossack bay
госдумы,state duma
кулик,sandpiper
сын,a son
александр янукович,alexander yanukovich
авто,auto
ялту,yalta
аэропорт харькова,kharkiv airport
реактивного самолета  фалькон ,jet aircraft falcon
суда,ships
азарова,azarov
аэропорт донецка,donetsk airport
объект,an object
новороссийска,novorossiysk
810-й отдельной бригады морской пехоты чф,810th separate marine brigade
румынию,romania
два вертолета агуста 139,two helicopters agusta 139
резиденции межигорье,residence mezhygorye
донецкий ботсад,donetsk botsad
выставочном центре ростова-на-дону 28,exhibition center rostov-on-don 28
севастополь,sevastopol
ялте,yalta
молдову,moldova
грабово,hornily
российскую границу,russian border
боинг-777,boeing 777
снбо,snbo
установки,installations
жители,residents
украэрорух,ukraerorukh
установка бук,installation beech
малайзийских авиалиний,malaysian airlines
самолет модификации боинг 777,aircraft modification boeing 777
луганску,lugansk
боинг,boeing
амстердам,amsterdam
авиакомпании  malaysia airlines,airlines malaysia airlines
амстердам-куала-лумпур,amsterdam kuala lumpur
тореза,torez
авиакомпании malaysia,airlines malaysia
самолеты,aircraft
(@euromaidan,(@euromaidan
красном кресте,red cross
сети,network
український,ukrainian
пограничный пункт пропуска плетеневка,border crossing checkpoint
грузовики,trucks
volodymyr ogrysko,volodymyr ogrysko
tanya felgengauer,tanya felgengauer
российского,russian
берлин,berlin
харьковской областью,kharkov region
российская,russian
харківську,kharkivsk
харківську область,kharkiv region
украинское,ukrainian
донецкоблэнерго,donetskoblenergo
общежитие,hostel
андрей бессонный,andrei is sleepless
краматорске,kramatorsk
ополченцами,the militia
центр,centre
горы карачун,karachun mountains
краматорска,kramatorsk
части,parts
краматорск,kramatorsk
местные жители,locals
ясногорку,yasnogorku
население,population
подстанции,substations
lifenews,lifenews
фейсбуке,facebook
продавец,seller
хвиля,hvil
андрея бессонного,andrei sleepless
крупнейший,the largest
сирена,siren
карачуна,karachun
городского головы,city head
ул. орджоникидзе,st. ordzhonikidze
журналисты,journalists
дмитрий тымчук,dmitry tymchuk
киоске,kiosk
андреевский мост,andreevsky bridge
славянском районе,slavic region
тк lifenews,tk lifenews
евромайдан,euromaidan
заместитель,deputy
компании,of the company
заводе энергомашспецсталь,energomashspetsstal plant
ополченцы,the militia
аэропорту  внуково :,vnukovo airport:
информагентство итар-тасс,news agency itar-tass
швейцарию,switzerland
донецкого,donetsk
ростов-на-дону,rostov-on-don
францию,france
уго,hugo
тсн.тиждень,tsn.tizhden
мариупольской трассе,mariupol highway
ростова-на-дону,rostov-on-don
ростове-на-дону,rostov-on-don
выставочном центре в ростове,exhibition center in rostov
военной разведки,military intelligence
рината ахметова,rinata akhmetov
персонал,staff
в.андерса,v.andersa
красными,red
правом секторе,right sector
друг,friend
белыми,white
волошин,voloshin
поэт,poet
максимилиан волошин,maximilian voloshin
крымским полуостровом,the crimean peninsula
русский,russian
юго-востоке украины,southeast ukraine
украинской земле,ukrainian land
майдана,maidan
юрий горский,yuri gorsky
коктебель,koktebel
коктебеле,koktebele
красных,red
небесной сотне,heavenly hundred
студия артполитинфо,studio artpolitinfo
небесная сотня,heavenly hundred
волошинским домом,volosha house
полуостров,peninsula
суд,court
переконаний,reconfiguration
виталий титич,vitaliy titich
адвокат,lawyer
нюрнберге,nuremberg
російских,russian
германия,germany
небесної сотні,heavenly hundreds
алле,alle
центр города,city center
агентства,agencies
микрорайоне станкострой,microdistrict stankostroy
системы,systems
города ясногорку,yasnogorku cities
поселок,village
издание хвиля,edition of hvil
нацгвардии,national guard under
завода кзтс,factory ktsts
краматорском,kramatorsk
оборудование,equipment
славянск,slavic
дома,houses
ресурсы,resources
комплекс,complex
соцгороде,social city
интернет-портал навигатор,internet portal navigator
точки,points
пао дтэк донецкоблэнерго,pao dtek donetskoblenergo
задержанные,the detainees
бригада,brigade
по свобода,by freedom
тела,bodies
французских,french
ярош,yarosh
10:18-10:19,10: 18-10: 19
качановского,kachanovsky
боевые группы,battle groups
защитники,defenders
арсений яценюк,arseny yatsenyuk
часть,part
телеканала украина,tv channel ukraine
телеканал украина,tv channel ukraine
октябрьский дворец,october palace
здания,building
украинскими,ukrainian
лидеры,the leaders
крыши,roofs
исполнители,performers
стрелки,arrows
яценюк,yatsenyuk
командиры,commanders
расположенной напротив гостиницы украина,located in front of the hotel ukraine
крыши октябрьского дворца,roofs of the october palace
камазах,kamaz
краснодонский район,krasnodon district
ростовской области,rostov region
бринский,brinsky
изварино,izvarino
шон уокер,sean walker
informator.lg.ua,informator.lg.ua
колонна,column
оружие,weapon
телеканала россия 1,tv channel russia 1
парубий,paraby
отель украина,hotel ukraine
подразделения беркут,division golden eagle
дома профсоюзов,trade union houses
здания банка аркада,bank building arcade
ученый,scientist
спецподразделения беркут,special forces golden eagle
охранники,the guards
номеров гостиницы украина,hotel rooms ukraine
улице институтской,college street
качановский,kachanovsky
парасюка,parasyuk
работа,job
обвинение,accusation
беркута,golden eagle
пределы,the limits
автор,author
андрей парубий,andrey paraubiy
консерватории,conservatory
беркут,golden eagle
иван качановский,ivan kachanovsky
доктор,doctor
виталий кличко,vitaliy klichko
протестующие,protesters
протестующий,protester
ассоциации политических наук,political science associations
британских,british
сотрудники,employees
участники,the participants
члены,the members
истории,stories
огонь,the fire
главпочтамта,main post office
парубия,paralysis
американской,the american
захар виноградов,zahar grapes
стрелок,shooter
пуля,bullet
газеты ред.),newspapers red.)
октябрьского дворца,october palace
октябрьскому дворцу,october palace
кличко,klitschko
бойцы,fighters
владимир парасюк,vladimir parasyuk
октябрьскому,october
майданом,maidan
движения,movements
беркуту,golden eagle
роман титик,titic novel
институтской улице,college street
британской би-би-си,bbk british
милиции,the police
здание консерватории,conservatory building
здания консерватории,conservatory buildings
евромайдана,euromaidan
группы,groups
гостиница украина,ukraine hotel
гостиницы украина,ukraine hotels
гостиницей украина,ukraine hotel
гостиницу украина,hotel ukraine
доска,board
снайперы,snipers
гру,gru
парасюком,parasyuk
правительственный беркут,government eagle
сан-франциско,san francisco
школы политических исследований университета оттавы,ottawa university school of political studies
совета национальной безопасности и обороны,national security and defense council
коктейли молотова,molotov cocktails
канада,canada
канадский,canadian
ф янукович,f yanukovych
министр,the minister
роман баданин,badanin novel
денис пузырев,denis bubble
гостиницы  украина ,Ukraine hotels
виктор пшонка,viktor pshonka
рбк,rbk
управделами президента,manager of the president
владимира кожина,vladimir kozhina
управления делами президента россии,office of the president of russia
фгбу  клинический санаторий  барвиха ,fgbu clinical sanatorium barvikha
клубном ресторане на 11-м этаже,club restaurant on the 11th floor
подмосковье,moscow region
global look press,global look press
александр литой,alexander cast
миде,mid
radisson royal,radisson royal
барвихе,barvikha
посольство,embassy
обслуживающий персонал,service staff
чиновник,official
елизавета осетинская,elizabeth ossetian
виктор хреков,viktor khrekov
война,war
радиоэлектронной разведки феррет-д,electronic intelligence ferret d
министерства обороны россии,ministries of defense of russia
министерством обороны россии,russian ministry of defense
дели - бирмингем,delhi - birmingham
4-го командования ввс и пво южного военного округа генерал-лейтенанта,4th air force and air defense command of the southern military district
крыла ef-111а raven,wing ef-111a raven
чвк,cone
малайзии,malaysia
советских,soviet
куполом,the dome
кургиняну,kurginyan
диспетчер,dispatcher
малазийским,malaysian
stss - space tracking and surveillance system,stss - space tracking and surveillance system
программа,program
украинский,ukrainian
компанией райтеон,riteon company
сопротивление,resistance
позиция,position
местоположение,location
волгоград,volgograd
марк рютте,mark ryutte
с.е.кургиняну,s.kurghinyan
голландского совета безопасности (именно голландия,dutch security council (precisely holland
национального бюро по расследованию авиакатастроф украины,national bureau of investigation of air crashes of ukraine
зрк бук-м1,zrk beech-m1
японского моря,sea of japan
боингом-778,boeing 778
г. красноармейск,krasnoarmeysk
история,story
сайта www.flightradar24.com.,site www.flightradar24.com.
зенитных ракетных комплексов бук,anti-aircraft missile systems beech
stss-atrr,stss-atrr
воздух-воздух р-60,air-to-air r-60
международной организации гражданской авиации icao b778,international civil aviation organization icao b778
пресс -службу мвд,the press service of the interior ministry
lb.ua,lb.ua
руководитель,head
сам,myself
лукина,lukin
игорь стрелков,igor shooters
издания buzzfeed,editions buzzfeed
вертолета,helicopter
еспресо.tv,eespresso.tv
skynews,skynews
мид-а,mid-a
глазунова,glazunov
команда,team
харьковом,kharkov
еспресо,espresso
ракета,rocket
пономарева стелла хорошева,ponomareva stella khorosheva
андреевки,andreevka
живого журнала,live journal
наблюдатели,observers
армии,armies
сил самообороны славянска,slavic self-defense forces
изюма,raisins
глазунову,glazunov
места,places
ясногорске,yasnogorsk
erin lyall,erin lyall
geoff mabberley,geoff mabberley
дмитрий стешин,dmitry steshin
унн,unn
поезд,a train
кашин,kashin
гражданское население,civilian population
гааге,the hague
гостинице  украина ,hotel ukraine
корреспондент,correspondent
экипаж,crew
анкоридже,anchorage
коридор,corridor
нортроп-грумман,northrop groomman
корпорации,corporations
петра порошенко,petro poroshenko
видео службы национальной безопасности украины,video of the national security service of ukraine
авиакомпании korean air lines,airlines korean air lines
мо,my
боингу,boeing
шпионская миссия сша,spy mission usa
российскими,russian
2014 г. youtube,2014 youtube
рейса мн17,flight mn17
краснодон,krasnodon
минобороны рф,russian ministry of defense
боинга-777,boeing 777
начальника гоу гш вс рф,chief go ss sun rf
новой зеландии,new zealand
маршруты,routes
министерство обороны,defense department
sbirs-heo-1,sbirs-heo-1
sbirs-heo-2,sbirs-heo-2
посольством сша,us embassy
сеть,network
бомбардировщик,bomber
министерства обороны - ни-че-го,ministry of defense - no-go-go
aic113,aic113
потери,losses
самоходной огневой установки зрк бук,self-propelled fire installation zrk beech
академии генерального штаба,academy of general staff
аэропорту анкориджа,anchorage airport
rnd,rnd
транспортировки соу бук с полным боекомплектом (4 зенитные управляемые ракеты - зур - 9м38),transportation of souk beech with full ammunition
w633,w633
прокурор,prosecutor
фаворит,favorite
режим,mode
аналитик,analyst
елены глазуновой,elena glazunovoy
новости донбасса,donbass news
инстаграме,instagram
радио свобода,radio freedom
комсомольской правды,komsomol truth
подразделения,divisions
сепаратисты,separatists
кремль,kremlin
александру коцу,alexander kotzu
советник,advisor
американского,american
никто,no one
мвд украины,ministry of internal affairs of ukraine
железнодорожной станции славянск,railway station slavyansk
структуры,structures
сбор,collection
донецкую республику,donetsk republic
lenta.ru,lenta.ru
над славянском,above slavic
славянском,slavic
славянском.видны,slavic
доброполье,goodwill
andy srevenson,andy srevenson
саймона шустера,simon shuster
борис рожкин,boris rozhkin
buzzfeed,buzzfeed
бзс,bzs
комсомольская правда,tvnz
петровцах,petrovtsi
бог,the god
светлана афанасьева,svetlana afanasyeva
украинском,ukrainian
г. дебальцево,mr. debalcevo
дом,house
камеры,cameras
мчс,mch
дебальцеве,debaltseve
дебальцева,debaltsev
игорь белодид,igor whiteodid
земля,land
настя,nastya
группировка,grouping
старший,older
дети,children
школы,schools
центра управления восстановлением днр,recovery management center
команды,teams
армия,army
милиция,the police
солдат,soldier
версия,version
западу,west
аэродромы,airfields
доме профсоюзов,union house
дому профсоюзов,home unions
партнеры,partners
мосты,bridges
александр валентинович,alexander valentinovich
кабмина,cabinet
кабмина россия,cabinet russia
постановление вру,lying decision
днепропетровскую,dnipropetrovsk
одесскую области,odessa region
русские,russians
бессарабки,bessarabki
вести,to lead
газеты,newspapers
войскам,the troops
улица,the outside
женщины,women
граната,grenade
блок,block
министерства,ministries
александр,alexander
авдеевки,avdeevki
бандитском,gangster
юго-восток,southeast
запад,west
ядерное оружие,nuclear weapon
первый,the first
путину,putin
нигде,nowhere
черниговской области,chernihiv region
рабскому,slave
всу,all
космос-2486,space-2486
самолета боинг-777,boeing 777 aircraft
вооруженных сил советского союза маршала,the armed forces of the soviet union marshal
боинга-747,boeing 747
полуостровом камчатка,kamchatka peninsula
samantha power,samantha power
рейса мн17) рейс аиц 113,flight mn17) flight 113
западной сахары,western sahara
самолете боинг-787-800 (b787-8,boeing 787-800 aircraft (b787-8
охотским морем,sea of okhotsk
боезапасом 48,ammunition 48
гос.депа д.псаки).,gos.depa d.psaki).
су-25,su-25
самолёта boeing 777,aircraft boeing 777
генералы,generals
каждый,each
специалисты,the specialists
главный,main
стратег,strategist
зрк бук,zrk beech
зрк бук как,zrk beech how
восточного тимора,east timor
зрк бук-м1 -,zrk beech-m1 -
союзник,ally
богдан-авто холдинг,bogdan-auto holding
подразделение,subdivision
l980,l980
американцы,the americans
американский,american
аркадия,arcadia
америка,america
adobe premiere,adobe premiere
ростовского зонального центра единой системы организации воздушного движения,rostov zonal center of a unified air traffic management system
с (2003-054а,from (2003-054a)
гражданский,civil
сингапур,singapore
кто-то,someone
авиакомпании malaysia airliners,airlines malaysia airliners
pekit,pekit
naval ocean surveillance system,naval ocean surveillance system
немецком,german
огаркова,ogarkov
цели,goals
сахалин,sakhalin
северным морем,north sea
южной частью сахалина,southern part of sakhalin
sbirs-нео-1,sbirs-neo-1
sbirs-нео-2,sbirs-neo-2
тедом молчаном,ted silent
управление,control
и.ильфа,i. elfa
осиповича,osipovich
осипович,osipovich
телеканала рбк,tv channel rbk
виктор федорович янукович,viktor fedorovich yanukovich
парламент,parliament
верховной раде украины,supreme rada of ukraine
андрей мосиенко,andrei mosienko
интерфакса,interfax
страны,country
безопасность,security
руководители,executives
севастополе,sevastopol
нацгвардии украины,national guard of ukraine
владимиром лукиным,vladimir lukin
компании аэрофлот,aeroflot companies
дмитрий рогозин,dmitry rogozin
пророссийским,pro-russian
антитеррористического,anti-terrorism
нацгвардия,national guard
крамоторска,kramotorsk
крымское,crimean
площадь,square
владимиру путину,vladimir putin
мэр,mayor
национальной гвардии,national guard
телеканалов skynews и cbs,tv channels skynews and cbs
авакова,avakova
андреевке,to andreyevka
международный суд по правам человека,international court of human rights
алексей мацука,alexey matsuka
константиновка,konstantinovka
гаагский,the hague
а.коц,a.kotz
антон геращенко,anton gerashchenko
одноклассники,classmates
национальной гвардией украины,national guard of ukraine
вячеслав пономарев,vyacheslav ponomarev
информационное сопротивление,information resistance
блоки,blocks
раненый,wounded
антитеррористической операции,antiterrorist operation
шевченко,shevchenko
европейских государств,european states
херсонскую,kherson
шелковичной,mulberry
януковичем,yanukovych
крыме,the crimea
казначейском,treasury
софии,sophia
николаевскую,nicholas
киевляне,kievites
машины скорой помощи,ambulances
стадион,stadium
заводы,plants
совет федерации рф,council of federation of the russian federation
толпы,the crowds
парке шевченко,shevchenko park
кабинета министров нет,there is no cabinet
кабинете министров,the cabinet
кабинетом министров,cabinet
главой вр,head of state
позиции,positions
коллега,colleague
парень,guy
украинцев,ukrainians
жертвы,the victims
субтельного,subbody
соединения,connections
генштаба,general staff
мариинском парке,mariinsky park
харьковских,kharkov
мвфовские,mvfovskie
мариинского парка,mariinsky park
элементы,items
министерства обороны украины,ministries of defense of ukraine
москва,moscow
канады,canada
зенитно-ракетных дивизионов бук-м1,anti-missile battalions buk-m1
михаил евграфович салтыков-щедрин,mikhail yevgrafovich saltykov-shchedrin
австралией,australia
татьяной лиозновой,tatyana liozova
саманты пауэр,samantha power
федеральному агентству воздушного транспорта,federal air transport agency
американская,the american
вестей,news
за пределами,outside
ganra,ganra
сккп,sccp
андрею картаполову,andrei karpov
андрей картаполов,andrey kartapolov
андрея юдина,andrei yudina
соу бук,sou beech
руки,arms
пусковой установки бук-м1,launcher beech-m1
минобороны россии,russian ministry of defense
а.н.картаполова,a.n.kartapolova
и.матушева,i.matusheva
система,system
ракету р-60,p-60 rocket
украинско-американской,ukrainian-american
usa-161 типа кн-11,usa-161 type kn-11
московское,moscow
станции,stations
закрыто 3/8 - 6/8 неба,closed 3/8 - 6/8 sky
агентство reuters,reuters agency
пелагеевка,pelagievka
модификации - боинг-777-300er,modifications - boeing 777-300er
американцам,to the americans
дели,delhi
пилоты,the pilots
голландской,dutch
пассажир,passenger
американское,the american
наемничество уголовного кодекса,mercenary criminal code
премьер-министр,prime minister
гринвичу,greenwich
usa-208,usa-208
рассыпное,loose
хозяин,master
осетию,ossetia
пенкин,penkin
моисеев,moses
южную,south
nuke-strike,nuke-strike
израиль,israel
ростове,rostov
бизнес,business
stahanovets,stahanovets
мишка-шихман украина+европа,bear shihman ukraine + europe
гондурас,honduras
воры,the thieves
португалия,portugal
мишка-шихман,bear shihman
территория,territory
новороссийске,novorossiysk
семьи,families
румынском,romanian
гость,a guest
магадана,magadan
kiselov,kiselov
referendum odnako,referendum odnako
приднестровье,transdniestria
хохланд,hochland
молдавия,moldavia
грузия,georgia
молдовы,moldova
янука,yanuca
новороссией,novorossia
абхазию,abkhazia
moldrom,moldrom
славянске,slavic
сайта левый берег,site left bank
спецназ,special forces
группы гру российской федерации,groups of russian federation
улицы,streets
министра внутренних дел украины,minister of internal affairs of ukraine
майка джиглио,jiglio shirt
рогозин,rogozin
зенитно-ракетный комплекс),anti-aircraft missile system)
внутренних вооруженных сил,internal armed forces
киевской области,kiev region
степан полторак,stepan and a half
cbs,cbs
александр коц,alexander kotz
зоны,zones
пользователи,users
саша,sasha
мариуполь,mariupol
московскому,moscow
ато,ato
войсках,the troops
луганскую,lugansk
вру,i'm lying
кабмин крыма,cabinet of crimea
януковиче,yanukovych
януковича-азарова,yanukovych-azarov
туалет,restroom
крымского полуострова,crimean peninsula
российской госдумы нарышкин,russian state duma naryshkin
госдумы нарышкиным,state duma naryshkin
героев небесной сотни,heroes of heaven hundreds
договора,of the contract
ассоциации,associations
